latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
39.555,-96.862,310.7,1.4,1.2,2020-03-22,0410,T,81,6.0NRT,269.2,25,N
39.553,-96.85,310.3,1.4,1.2,2020-03-22,0410,T,80,6.0NRT,269.1,24.5,N
18.211,-88.588,307,1.1,1.1,2020-03-22,0400,T,70,6.0NRT,292.8,9,N
17.835,-93.122,324.6,2.3,1.5,2020-03-22,0400,T,100,6.0NRT,291.9,71.1,N
17.848,-93.125,302.7,2.3,1.5,2020-03-22,0400,T,51,6.0NRT,291.9,12.8,N
17.849,-93.11,303.9,2.3,1.5,2020-03-22,0400,T,58,6.0NRT,291.8,14.1,N
17.846,-93.131,307.5,2.3,1.5,2020-03-22,0400,T,72,6.0NRT,291.9,21.8,N
17.89,-93.183,312.1,2.3,1.5,2020-03-22,0400,T,84,6.0NRT,292.5,33.2,N
17.902,-93.185,322.3,2.3,1.5,2020-03-22,0400,T,100,6.0NRT,292.8,63,N
18.337,-90.744,333.9,1.5,1.2,2020-03-22,0400,T,100,6.0NRT,294.9,58,N
17.906,-93.528,307.2,2.4,1.5,2020-03-22,0400,T,71,6.0NRT,292.3,25.9,N
18.096,-93.436,303.2,2.4,1.5,2020-03-22,0405,T,37,6.0NRT,292.7,16.2,N
18.461,-91.383,312,1.6,1.3,2020-03-22,0405,T,84,6.0NRT,292.8,19,N
18.458,-91.399,326.7,1.6,1.3,2020-03-22,0405,T,100,6.0NRT,292.5,48.5,N
18.472,-91.386,306.3,1.6,1.3,2020-03-22,0405,T,68,6.0NRT,292,12.5,N
18.47,-91.401,307.8,1.6,1.3,2020-03-22,0405,T,73,6.0NRT,291.7,15,N
18.637,-92.17,304.5,1.9,1.3,2020-03-22,0405,T,60,6.0NRT,293.3,9.8,N
19.222,-89.599,314.3,1.2,1.1,2020-03-22,0405,T,88,6.0NRT,296.6,14.6,N
19.231,-89.601,314.8,1.2,1.1,2020-03-22,0405,T,90,6.0NRT,296.3,15.4,N
19.245,-89.639,307.2,1.2,1.1,2020-03-22,0405,T,70,6.0NRT,295.7,7.7,N
19.244,-89.651,308.2,1.2,1.1,2020-03-22,0405,T,73,6.0NRT,295.6,8.7,N
19.324,-89.659,306.8,1.2,1.1,2020-03-22,0405,T,68,6.0NRT,295.1,7.8,N
19.399,-92.04,308.8,1.8,1.3,2020-03-22,0405,T,63,6.0NRT,293.8,15.2,N
19.396,-92.056,306.4,1.8,1.3,2020-03-22,0405,T,45,6.0NRT,293.8,11.6,N
21.451,-78.219,306.1,3.2,1.7,2020-03-22,0405,T,41,6.0NRT,290.7,38.4,N
21.449,-78.224,307.5,3.2,1.7,2020-03-22,0405,T,54,6.0NRT,290.7,43.1,N
20.065,-89.964,310.1,1.3,1.1,2020-03-22,0405,T,77,6.0NRT,295.4,9.5,N
20.065,-89.97,308.9,1.3,1.1,2020-03-22,0405,T,73,6.0NRT,295.5,8.8,N
21.029,-87.185,310,1,1,2020-03-22,0405,T,79,6.0NRT,292.3,9.6,N
21.028,-87.194,302.3,1,1,2020-03-22,0405,T,48,6.0NRT,292.3,4.6,N
22.199,-84.281,306.8,1.2,1.1,2020-03-22,0405,T,69,6.0NRT,292.3,10.6,N
28.042,-80.783,312.1,2.5,1.5,2020-03-22,0405,T,84,6.0NRT,290,45.7,N
39.722,-122.268,306,1.5,1.2,2020-03-22,0545,T,67,6.0NRT,281.4,19.6,N
21.86,-78.395,301.3,1.3,1.1,2020-03-22,0645,A,40,6.0NRT,291.2,6.2,N
21.576,-78.009,302.7,1.2,1.1,2020-03-22,0645,A,51,6.0NRT,291.9,6.5,N
20.164,-76.08,307.2,1,1,2020-03-22,0650,A,71,6.0NRT,290,8.8,N
20.003,-75.676,309.4,1,1,2020-03-22,0650,A,77,6.0NRT,293.2,8.5,N
19.572,-92.217,305,2.8,1.6,2020-03-22,0825,A,6,6.0NRT,292.2,23,N
19.57,-92.224,308.5,2.8,1.6,2020-03-22,0825,A,61,6.0NRT,292.2,31,N
20.581,-101.171,300.7,1,1,2020-03-22,0825,A,32,6.0NRT,289.4,5.1,N
20.527,-100.924,300.7,1,1,2020-03-22,0825,A,32,6.0NRT,288.3,5.5,N
18.739,-100.108,301.6,1,1,2020-03-22,0825,A,18,6.0NRT,290.4,4.2,N
18.738,-100.099,303.7,1,1,2020-03-22,0825,A,42,6.0NRT,290.3,5.5,N
18.729,-100.1,308.6,1,1,2020-03-22,0825,A,75,6.0NRT,289.9,9.1,N
41.298,-75.751,301.3,1.1,1,2020-03-22,1605,T,31,6.0NRT,284.1,4.6,D
41.459,-81.671,308.9,1.3,1.1,2020-03-22,1605,T,68,6.0NRT,286.5,10.9,D
41.46,-81.678,306,1.3,1.1,2020-03-22,1605,T,47,6.0NRT,287,8.4,D
40.564,-75.912,300.4,1.1,1,2020-03-22,1605,T,36,6.0NRT,286.7,4.2,D
22.243,-79.792,320.1,1.2,1.1,2020-03-22,1615,T,72,6.0NRT,300.5,15.9,D
22.707,-82.794,318.4,1,1,2020-03-22,1615,T,67,6.0NRT,301.6,9.6,D
22.723,-83.152,323.8,1,1,2020-03-22,1615,T,65,6.0NRT,302.4,13.9,D
22.297,-80.861,319.3,1.1,1,2020-03-22,1615,T,44,6.0NRT,300,13.4,D
22.62,-83.018,320.1,1,1,2020-03-22,1615,T,64,6.0NRT,303.9,6.9,D
21.863,-78.404,346.2,1.5,1.2,2020-03-22,1615,T,93,6.0NRT,306.5,85,D
22.597,-83.051,322.1,1,1,2020-03-22,1615,T,38,6.0NRT,306,7.4,D
22.59,-83.062,356,1,1,2020-03-22,1615,T,98,6.0NRT,304.4,63.7,D
22.589,-83.053,346.2,1,1,2020-03-22,1615,T,93,6.0NRT,306.3,42,D
21.838,-78.513,320.3,1.5,1.2,2020-03-22,1615,T,40,6.0NRT,303.5,15.8,D
21.729,-78.423,319.4,1.5,1.2,2020-03-22,1615,T,71,6.0NRT,304.1,15.7,D
21.578,-78.027,320.9,1.6,1.3,2020-03-22,1615,T,36,6.0NRT,300.1,22.8,D
21.436,-77.884,327.5,1.7,1.3,2020-03-22,1615,T,79,6.0NRT,294.9,37.3,D
