latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,latlongtuple
19.226,-71.786,300.8,1.4,1.2,2020-03-21,320,T,34,6.0NRT,290.5,7.6,N,"(19.226, -71.786)"
19.268,-71.874,300.8,1.4,1.2,2020-03-21,320,T,15,6.0NRT,289.9,6.8,N,"(19.268, -71.874)"
19.274,-71.882,301.4,1.4,1.2,2020-03-21,320,T,39,6.0NRT,289.4,7.8,N,"(19.274, -71.882)"
20.003,-75.678,340.7,1.0,1.0,2020-03-21,320,T,100,6.0NRT,295.6,44.2,N,"(20.003, -75.678)"
20.000999999999998,-75.688,330.4,1.0,1.0,2020-03-21,320,T,100,6.0NRT,295.4,28.6,N,"(20.000999999999998, -75.688)"
20.164,-77.354,306.6,1.0,1.0,2020-03-21,320,T,68,6.0NRT,293.2,6.6,N,"(20.164, -77.354)"
20.162,-77.36399999999999,316.6,1.0,1.0,2020-03-21,320,T,93,6.0NRT,293.4,14.6,N,"(20.162, -77.36399999999999)"
20.445,-76.188,332.2,1.0,1.0,2020-03-21,320,T,100,6.0NRT,294.6,30.5,N,"(20.445, -76.188)"
20.444000000000003,-76.197,340.9,1.0,1.0,2020-03-21,320,T,100,6.0NRT,295.2,43.9,N,"(20.444000000000003, -76.197)"
20.442999999999998,-76.207,306.1,1.0,1.0,2020-03-21,320,T,67,6.0NRT,293.6,5.8,N,"(20.442999999999998, -76.207)"
20.455,-76.185,319.6,1.0,1.0,2020-03-21,320,T,99,6.0NRT,293.2,16.8,N,"(20.455, -76.185)"
20.453,-76.204,304.6,1.0,1.0,2020-03-21,320,T,61,6.0NRT,293.1,5.6,N,"(20.453, -76.204)"
20.498,-75.95,304.0,1.0,1.0,2020-03-21,320,T,58,6.0NRT,292.1,5.5,N,"(20.498, -75.95)"
20.497,-75.96,329.1,1.0,1.0,2020-03-21,320,T,100,6.0NRT,293.7,27.8,N,"(20.497, -75.96)"
20.506,-75.961,316.9,1.0,1.0,2020-03-21,320,T,94,6.0NRT,292.9,14.6,N,"(20.506, -75.961)"
20.820999999999998,-77.639,305.7,1.1,1.0,2020-03-21,320,T,65,6.0NRT,292.5,6.7,N,"(20.820999999999998, -77.639)"
21.096999999999998,-76.967,302.9,1.0,1.0,2020-03-21,320,T,52,6.0NRT,292.7,4.6,N,"(21.096999999999998, -76.967)"
21.105999999999998,-76.968,311.9,1.0,1.0,2020-03-21,320,T,84,6.0NRT,292.8,10.4,N,"(21.105999999999998, -76.968)"
21.08,-78.169,310.1,1.1,1.0,2020-03-21,320,T,79,6.0NRT,292.9,10.5,N,"(21.08, -78.169)"
21.079,-78.179,317.9,1.1,1.0,2020-03-21,320,T,96,6.0NRT,292.9,17.6,N,"(21.079, -78.179)"
21.215999999999998,-77.71300000000001,310.2,1.1,1.0,2020-03-21,320,T,79,6.0NRT,292.4,10.0,N,"(21.215999999999998, -77.71300000000001)"
21.236,-77.706,331.7,1.1,1.0,2020-03-21,320,T,100,6.0NRT,292.7,33.1,N,"(21.236, -77.706)"
21.535999999999998,-77.98,309.1,1.1,1.0,2020-03-21,320,T,46,6.0NRT,292.8,8.3,N,"(21.535999999999998, -77.98)"
21.56,-78.005,325.2,1.1,1.0,2020-03-21,320,T,100,6.0NRT,293.7,22.9,N,"(21.56, -78.005)"
21.558000000000003,-78.015,331.2,1.1,1.0,2020-03-21,320,T,100,6.0NRT,293.8,31.6,N,"(21.558000000000003, -78.015)"
21.573,-77.972,309.6,1.1,1.0,2020-03-21,320,T,78,6.0NRT,293.2,9.8,N,"(21.573, -77.972)"
21.570999999999998,-77.982,303.7,1.1,1.0,2020-03-21,320,T,56,6.0NRT,293.3,5.2,N,"(21.570999999999998, -77.982)"
21.62,-78.903,304.4,1.2,1.1,2020-03-21,320,T,57,6.0NRT,292.1,6.4,N,"(21.62, -78.903)"
21.618000000000002,-78.914,308.4,1.2,1.1,2020-03-21,320,T,74,6.0NRT,292.2,9.7,N,"(21.618000000000002, -78.914)"
21.63,-78.905,304.4,1.2,1.1,2020-03-21,320,T,20,6.0NRT,292.2,6.1,N,"(21.63, -78.905)"
21.706999999999997,-79.566,315.6,1.2,1.1,2020-03-21,320,T,92,6.0NRT,293.4,18.1,N,"(21.706999999999997, -79.566)"
21.719,-79.556,305.9,1.2,1.1,2020-03-21,320,T,66,6.0NRT,292.9,8.8,N,"(21.719, -79.556)"
21.717,-79.568,315.8,1.2,1.1,2020-03-21,320,T,92,6.0NRT,293.1,18.7,N,"(21.717, -79.568)"
21.862,-79.184,319.4,1.2,1.1,2020-03-21,320,T,99,6.0NRT,293.0,22.4,N,"(21.862, -79.184)"
21.86,-79.195,313.3,1.2,1.1,2020-03-21,320,T,87,6.0NRT,292.6,15.4,N,"(21.86, -79.195)"
22.095,-79.458,303.4,1.2,1.1,2020-03-21,320,T,55,6.0NRT,291.3,7.4,N,"(22.095, -79.458)"
22.024,-80.31,304.1,1.4,1.2,2020-03-21,320,T,58,6.0NRT,293.6,7.3,N,"(22.024, -80.31)"
22.303,-80.42399999999999,308.8,1.4,1.2,2020-03-21,320,T,76,6.0NRT,293.1,13.3,N,"(22.303, -80.42399999999999)"
22.337,-80.609,336.1,1.4,1.2,2020-03-21,320,T,100,6.0NRT,293.9,61.2,N,"(22.337, -80.609)"
22.344,-80.602,314.5,1.4,1.2,2020-03-21,320,T,89,6.0NRT,292.8,20.3,N,"(22.344, -80.602)"
22.342,-80.615,325.1,1.4,1.2,2020-03-21,320,T,100,6.0NRT,293.0,37.1,N,"(22.342, -80.615)"
22.654,-79.675,303.2,1.2,1.1,2020-03-21,320,T,54,6.0NRT,293.1,5.7,N,"(22.654, -79.675)"
22.723000000000003,-81.798,304.1,1.7,1.3,2020-03-21,320,T,59,6.0NRT,292.6,11.3,N,"(22.723000000000003, -81.798)"
22.968000000000004,-81.917,308.0,1.7,1.3,2020-03-21,320,T,73,6.0NRT,292.3,17.1,N,"(22.968000000000004, -81.917)"
26.615,-78.435,314.3,1.0,1.0,2020-03-21,320,T,85,6.0NRT,292.5,12.6,N,"(26.615, -78.435)"
26.613000000000003,-78.445,308.7,1.0,1.0,2020-03-21,320,T,62,6.0NRT,292.5,8.4,N,"(26.613000000000003, -78.445)"
17.838,-93.111,319.4,2.4,1.5,2020-03-21,500,T,99,6.0NRT,294.7,56.0,N,"(17.838, -93.111)"
17.836,-93.133,313.9,2.4,1.5,2020-03-21,500,T,88,6.0NRT,294.7,38.7,N,"(17.836, -93.133)"
17.898,-93.185,335.4,2.3,1.5,2020-03-21,500,T,100,6.0NRT,295.7,119.9,N,"(17.898, -93.185)"
17.894000000000002,-93.191,319.4,2.3,1.5,2020-03-21,500,T,98,6.0NRT,295.6,54.6,N,"(17.894000000000002, -93.191)"
17.907,-93.19200000000001,314.1,2.3,1.5,2020-03-21,500,T,88,6.0NRT,295.0,38.3,N,"(17.907, -93.19200000000001)"
17.910999999999998,-93.51799999999999,310.5,2.2,1.4,2020-03-21,500,T,80,6.0NRT,295.9,27.4,N,"(17.910999999999998, -93.51799999999999)"
19.56,-92.238,307.9,2.9,1.6,2020-03-21,500,T,57,6.0NRT,294.7,30.2,N,"(19.56, -92.238)"
20.574,-101.175,305.3,1.0,1.0,2020-03-21,500,T,64,6.0NRT,291.9,5.8,N,"(20.574, -101.175)"
21.76,-105.2,303.9,1.4,1.2,2020-03-21,500,T,57,6.0NRT,292.2,8.1,N,"(21.76, -105.2)"
30.063000000000002,-101.488,306.5,1.1,1.0,2020-03-21,500,T,68,6.0NRT,285.5,10.1,N,"(30.063000000000002, -101.488)"
42.687,-111.585,304.7,1.3,1.1,2020-03-21,505,T,61,6.0NRT,270.5,18.5,N,"(42.687, -111.585)"
42.684,-111.6,306.8,1.3,1.1,2020-03-21,505,T,69,6.0NRT,269.8,20.4,N,"(42.684, -111.6)"
20.467,-90.264,307.0,1.0,1.0,2020-03-21,745,A,70,6.0NRT,295.6,6.0,N,"(20.467, -90.264)"
19.569000000000003,-92.244,307.1,1.2,1.1,2020-03-21,745,A,51,6.0NRT,293.3,7.4,N,"(19.569000000000003, -92.244)"
19.567999999999998,-92.23299999999999,329.7,1.2,1.1,2020-03-21,745,A,100,6.0NRT,293.6,33.9,N,"(19.567999999999998, -92.23299999999999)"
18.992,-88.647,302.1,1.0,1.0,2020-03-21,745,A,47,6.0NRT,292.0,5.2,N,"(18.992, -88.647)"
19.44,-92.035,310.6,1.1,1.1,2020-03-21,745,A,72,6.0NRT,295.3,9.8,N,"(19.44, -92.035)"
19.399,-92.04799999999999,306.5,1.1,1.1,2020-03-21,745,A,46,6.0NRT,294.9,6.5,N,"(19.399, -92.04799999999999)"
19.397000000000002,-92.037,316.8,1.1,1.1,2020-03-21,745,A,92,6.0NRT,295.4,15.8,N,"(19.397000000000002, -92.037)"
18.658,-88.51299999999999,306.2,1.0,1.0,2020-03-21,745,A,67,6.0NRT,292.7,7.8,N,"(18.658, -88.51299999999999)"
18.652,-92.17399999999999,313.1,1.1,1.1,2020-03-21,745,A,86,6.0NRT,294.4,12.2,N,"(18.652, -92.17399999999999)"
18.643,-92.175,318.7,1.1,1.1,2020-03-21,745,A,97,6.0NRT,293.9,18.1,N,"(18.643, -92.175)"
18.641,-92.164,319.4,1.1,1.1,2020-03-21,745,A,99,6.0NRT,294.2,18.9,N,"(18.641, -92.164)"
18.05,-91.984,305.8,1.1,1.0,2020-03-21,745,A,66,6.0NRT,295.2,6.3,N,"(18.05, -91.984)"
18.221,-93.89399999999999,310.6,1.4,1.2,2020-03-21,745,A,80,6.0NRT,295.1,13.6,N,"(18.221, -93.89399999999999)"
18.099,-94.044,308.4,1.4,1.2,2020-03-21,745,A,74,6.0NRT,295.4,12.0,N,"(18.099, -94.044)"
17.897000000000002,-92.491,314.2,1.2,1.1,2020-03-21,745,A,89,6.0NRT,295.5,13.9,N,"(17.897000000000002, -92.491)"
17.895,-92.48100000000001,306.9,1.2,1.1,2020-03-21,745,A,70,6.0NRT,295.6,7.2,N,"(17.895, -92.48100000000001)"
17.908,-93.185,329.7,1.3,1.1,2020-03-21,745,A,100,6.0NRT,295.4,37.4,N,"(17.908, -93.185)"
17.906,-93.17299999999999,324.5,1.3,1.1,2020-03-21,745,A,100,6.0NRT,295.7,28.8,N,"(17.906, -93.17299999999999)"
17.898,-93.186,321.0,1.3,1.1,2020-03-21,745,A,100,6.0NRT,296.3,23.9,N,"(17.898, -93.186)"
17.897000000000002,-93.175,312.8,1.3,1.1,2020-03-21,745,A,86,6.0NRT,295.5,13.6,N,"(17.897000000000002, -93.175)"
17.887999999999998,-93.18799999999999,307.7,1.3,1.1,2020-03-21,745,A,72,6.0NRT,295.2,9.4,N,"(17.887999999999998, -93.18799999999999)"
17.91,-93.515,317.1,1.3,1.1,2020-03-21,745,A,94,6.0NRT,294.9,20.8,N,"(17.91, -93.515)"
17.849,-93.12200000000001,317.0,1.2,1.1,2020-03-21,745,A,94,6.0NRT,295.6,18.7,N,"(17.849, -93.12200000000001)"
17.848,-93.11,318.8,1.2,1.1,2020-03-21,745,A,98,6.0NRT,295.3,21.0,N,"(17.848, -93.11)"
